model,context,avg_score,easy_avg,medium_avg,hard_avg,strict_accuracy,lenient_accuracy,n_evaluated
deepseek-v3.2,markdown_16000tok,1.05,2.2,1.0,0.38,0.2,0.35,20
deepseek-v3.2,markdown_2000tok,0.15,0.6,0.0,0.0,0.05,0.05,20
deepseek-v3.2,markdown_8000tok,0.35,1.2,0.0,0.12,0.1,0.1,20
deepseek-v3.2,markdown_full,1.1,2.6,1.0,0.25,0.2,0.4,20
deepseek-v3.2,statements_16000tok,1.25,1.4,2.14,0.38,0.3,0.45,20
deepseek-v3.2,statements_2000tok,0.8,1.0,1.29,0.25,0.2,0.3,20
deepseek-v3.2,statements_8000tok,1.25,1.4,2.14,0.38,0.3,0.45,20
deepseek-v3.2,statements_full,1.25,1.4,2.14,0.38,0.3,0.45,20
deepseek-v3.2-thinking,markdown_16000tok,1.2,2.2,1.43,0.38,0.25,0.4,20
deepseek-v3.2-thinking,markdown_2000tok,0.25,0.6,0.29,0.0,0.05,0.1,20
deepseek-v3.2-thinking,markdown_8000tok,0.8,1.2,0.14,1.12,0.15,0.25,20
deepseek-v3.2-thinking,markdown_full,1.65,2.6,1.57,1.12,0.3,0.65,20
deepseek-v3.2-thinking,statements_16000tok,1.45,1.4,2.14,0.88,0.35,0.55,20
deepseek-v3.2-thinking,statements_2000tok,0.7,0.6,1.29,0.25,0.2,0.25,20
deepseek-v3.2-thinking,statements_8000tok,1.3,1.2,2.14,0.62,0.35,0.45,20
deepseek-v3.2-thinking,statements_full,1.55,1.8,2.14,0.88,0.35,0.6,20
gemma4,markdown_16000tok,1.2,2.6,1.0,0.5,0.2,0.5,20
gemma4,markdown_2000tok,0.25,0.6,0.29,0.0,0.05,0.1,20
gemma4,markdown_8000tok,0.45,1.2,0.0,0.38,0.1,0.15,20
gemma4,markdown_full,1.4,2.6,1.29,0.75,0.3,0.5,20
gemma4,statements_16000tok,1.35,1.0,2.14,0.88,0.35,0.5,20
gemma4,statements_2000tok,0.8,1.0,1.29,0.25,0.2,0.3,20
gemma4,statements_8000tok,1.3,1.0,2.14,0.75,0.3,0.5,20
gemma4,statements_full,1.35,1.0,2.14,0.88,0.35,0.5,20
mistral-small-4,markdown_16000tok,1.15,2.2,1.29,0.38,0.25,0.4,20
mistral-small-4,markdown_2000tok,0.15,0.6,0.0,0.0,0.05,0.05,20
mistral-small-4,markdown_8000tok,0.45,0.8,0.29,0.38,0.0,0.2,20
mistral-small-4,markdown_full,1.6,2.6,1.71,0.88,0.2,0.65,20
mistral-small-4,statements_16000tok,1.45,1.4,2.43,0.62,0.3,0.55,20
mistral-small-4,statements_2000tok,0.8,0.6,1.57,0.25,0.2,0.3,20
mistral-small-4,statements_8000tok,1.4,1.4,2.43,0.5,0.3,0.55,20
mistral-small-4,statements_full,1.4,1.4,2.29,0.62,0.25,0.55,20
qwen3.5,markdown_16000tok,1.85,2.6,1.57,1.62,0.3,0.75,20
qwen3.5,markdown_2000tok,0.55,1.0,0.29,0.5,0.05,0.25,20
qwen3.5,markdown_8000tok,0.74,1.0,0.29,1.0,0.105,0.263,19
qwen3.5,markdown_full,1.95,2.6,1.71,1.75,0.35,0.8,20
qwen3.5,statements_16000tok,1.42,1.6,2.0,0.88,0.368,0.526,19
qwen3.5,statements_2000tok,0.79,1.0,1.29,0.25,0.211,0.263,19
qwen3.5,statements_8000tok,1.5,1.6,2.0,1.0,0.389,0.556,18
qwen3.5,statements_full,1.58,1.6,2.0,1.25,0.421,0.579,19
